t,dist_m1,dist_m2,dist_m3,valid_m1,valid_m2,valid_m3
1612483809.6088343,0,0,13.74899959564209,0,0,1
1612483809.7088327,11.592000007629395,10.758000373840332,13.781000137329102,1,1,1
1612483809.8088648,0,10.701999664306641,13.842000007629395,0,1,1
1612483810.0089169,0,10.598999977111816,13.991999626159668,0,1,1
1612483810.9129992,12.35200023651123,10.177000045776367,0,1,1,0
1612483811.0089722,12.369999885559082,0,0,1,0,0
1612483811.7090862,12.746000289916992,0,15.416999816894531,1,0,1
1612483811.8091321,0,0,15.460000038146973,0,0,1
1612483812.411515,12.904999732971191,0,15.430999755859375,1,0,1
1612483812.513298,0,0,0,0,0,0
1612483814.2135613,11.784999847412109,0,0,1,0,0
1612483814.3114967,11.73799991607666,9.4969997406005859,0,1,1,0
1612483816.0097449,0,10.111000061035156,13.097000122070312,0,1,1
1612483816.20979,0,10.157999992370605,13.031000137329102,0,1,1
1612483818.6142004,8.3909997940063477,10.616999626159668,12.248000144958496,1,1,1
1612483818.7101777,0,10.654999732971191,12.277000427246094,0,1,1
1612483820.3109348,0,11.11400032043457,12.460000038146973,0,1,1
1612483820.5109587,0,11.086000442504883,12.482999801635742,0,1,1
1612483820.7149642,7.4770002365112305,11.142000198364258,12.515999794006348,1,1,1
1612483820.811121,7.3839998245239258,11.166000366210938,0,1,1,0
1612483821.2111731,0,11.269000053405762,12.694000244140625,0,1,1
1612483821.4113829,7.1869997978210449,11.329999923706055,12.741000175476074,1,1,1
1612483821.5111716,7.1539998054504395,11.310999870300293,0,1,1,0
1612483821.6110353,7.130000114440918,11.319999694824219,0,1,1,0
1612483821.7109804,7.1579999923706055,11.33899974822998,0,1,1,0
1612483822.1107333,0,11.465999603271484,13.144000053405762,0,1,1
1612483822.3106868,7.1160001754760742,11.428000450134277,13.307999610900879,1,1,1
1612483822.410851,7.120999813079834,11.437999725341797,13.430000305175781,1,1,1
1612483822.5109594,7.1490001678466797,0,13.52400016784668,1,0,1
1612483822.6128428,0,0,0,0,0,0
1612483823.0149791,0,11.461000442504883,14.147000312805176,0,1,1
1612483823.2108624,7.5520000457763672,11.437999725341797,14.324999809265137,1,1,1
1612483823.3109112,7.6269998550415039,11.484999656677246,14.428000450134277,1,1,1
1612483823.4108992,7.6929998397827148,11.423999786376953,14.560000419616699,1,1,1
1612483823.510988,7.749000072479248,11.399999618530273,0,1,1,0
1612483823.9089329,0,11.451999664306641,15.234000205993652,0,1,1
1612483824.1109736,8.2460002899169922,11.479999542236328,15.482999801635742,1,1,1
1612483824.2111721,8.3909997940063477,11.49899959564209,15.581000328063965,1,1,1
