t,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1612483761.981837,84.063398073224391,-21.486647046361597,23.075028383958681,0.9727186587920883,0.20282052798376707,-0.028771344847261716,-0.10887816117930497
1612483761.991842,84.057954644259709,-21.462908825602355,23.074660478322649,0.97264818716160784,0.20296947104960239,-0.031084559774465826,-0.10859395920911299
1612483762.001838,84.052445249823705,-21.439551222527403,23.074403409336515,0.97283258886354396,0.20146882109885397,-0.034540525681576104,-0.10869231921222942
1612483762.0168409,84.04415745900252,-21.404996564252315,23.073623545020542,0.97241415061380843,0.20356775945542216,-0.036079228875458891,-0.10802396141633219
1612483762.0268402,84.038589420761781,-21.382323723104317,23.072982082304133,0.9721232105998191,0.20507752294930073,-0.036732185910533115,-0.10756588451880457
1612483762.0368402,84.032957072888067,-21.360163756969236,23.072507927363294,0.97175190138588563,0.20695713470796023,-0.037180303203834877,-0.1071662801447277
1612483762.0468414,84.026986257541509,-21.338408672005869,23.072196818461151,0.97177764016914125,0.20642097758449732,-0.039355032712914712,-0.10719038893725952
1612483762.0618434,84.017549302936345,-21.306554565408231,23.071649910598186,0.97104429035968065,0.21038305796526641,-0.039049867235809714,-0.10624058993582954
1612483762.0718434,84.010832339080082,-21.286001851362382,23.07189620520613,0.97153716737264373,0.20677001022878325,-0.043727470596442997,-0.10700282051780612
1612483762.0818434,84.003969307088937,-21.265621542728496,23.071660417563685,0.9710260915501463,0.20955080539884993,-0.043385547824324709,-0.10636956202562589
1612483762.0918443,83.996830767221525,-21.245548845180071,23.071593691574328,0.97106914459560045,0.20882979991044331,-0.045583542679726516,-0.1064752164613844
1612483762.1068473,83.985772503313598,-21.215836200019751,23.071294873262168,0.97104418219447075,0.20834808444732708,-0.048152954742664782,-0.10651556169382921
1612483762.1168473,83.978268264960278,-21.19612117589935,23.070588081040398,0.97035921695821659,0.21242762655291203,-0.046216679119714117,-0.10555336144566335
1612483762.126847,83.97049967163089,-21.176842496270503,23.070497939931144,0.97094642195370406,0.20817020206906026,-0.05070046397502951,-0.10657239613775586
1612483762.1368501,83.962769639805558,-21.157080087951378,23.069069679586026,0.97005015772325098,0.21392367258765183,-0.046768851150080989,-0.1051286277367332
1612483762.151849,83.950862426588756,-21.127982110399603,23.067576446858748,0.97031743273736493,0.21201029485306611,-0.048881907476089323,-0.1055759145060291
1612483762.16185,83.94276028023944,-21.108470486959046,23.066198800548349,0.97053014684951777,0.21064128803002174,-0.049945133011134714,-0.10586295632470878
