run,anchor_id,method,outlier_method,position_error,constant_bias_error,linear_bias_error,anchor_position,estimated_position,constant_bias,linear_bias,noise_variance,outlier_probability,num_measurements
3,1,LINEAR_REWEIGHTED,NONE,10.887747699069275,0.18080552798842084,0.02124217733388134,"[2.0, 3.0, 0.0]","[0.0302098101626882, -0.008877340850503401, -10.276654792018917]",0.18033450352296262,1.0212421773338813,0.004116898859160489,0.19398197043239887,100
3,1,LINEAR_REWEIGHTED,IMMEDIATE,5.879107981597309,0.18033450352296262,15.17577733465258,"[2.0, 3.0, 0.0]","[-0.11889038115157298, 0.14343396630094415, -4.681265289113763]",0.18033450352296262,1.0212421773338813,0.004116898859160489,0.19398197043239887,100
4,1,SIMPLE_LINEAR,NONE,10.885321936323631,7.402781280547547,125.45630688920137,"[2.0, 3.0, 0.0]","[0.03096301889913633, -0.007647206505566828, -10.274589301070137]",0.2497327922401265,1.0063701733203483,0.03636499344142013,0.03668090197068676,100
4,1,SIMPLE_LINEAR,IMMEDIATE,5.20643816580129,0.2497327922401265,2.1818549282359543,"[2.0, 3.0, 0.0]","[0.06381231932488958, 0.2705058111320194, -3.988488073499802]",0.2497327922401265,1.0063701733203483,0.03636499344142013,0.03668090197068676,100
4,1,LINEAR_REWEIGHTED,NONE,10.885321936323631,7.402781280547547,125.45630688920137,"[2.0, 3.0, 0.0]","[0.03096301889913633, -0.007647206505566828, -10.274589301070137]",0.2497327922401265,1.0063701733203483,0.03636499344142013,0.03668090197068676,100
4,1,LINEAR_REWEIGHTED,IMMEDIATE,8.439256945489348,0.2497327922401265,0.006370173320348282,"[2.0, 3.0, 0.0]","[-0.06224332398685372, 0.04078448187340043, -7.629629989844892]",0.2497327922401265,1.0063701733203483,0.03636499344142013,0.03668090197068676,100
5,1,SIMPLE_LINEAR,NONE,10.894623703343495,0.09162827652345484,0.01574269294896724,"[2.0, 3.0, 0.0]","[0.029371985270302048, -0.010360971322270984, -10.283344674149362]",0.09127267288786131,1.0157426929489672,0.08638900372842316,0.058245828039608386,100
5,1,SIMPLE_LINEAR,IMMEDIATE,5.40430304845055,0.09127267288786131,3.4642161280776245,"[2.0, 3.0, 0.0]","[-0.09253342995844652, 0.30930662205810416, -4.193800714137222]",0.09127267288786131,1.0157426929489672,0.08638900372842316,0.058245828039608386,100
5,1,LINEAR_REWEIGHTED,NONE,10.894623703343495,0.09162827652345484,0.01574269294896724,"[2.0, 3.0, 0.0]","[0.029371985270302048, -0.010360971322270984, -10.283344674149362]",0.09127267288786131,1.0157426929489672,0.08638900372842316,0.058245828039608386,100
5,1,LINEAR_REWEIGHTED,IMMEDIATE,6.560626812763497,0.09127267288786131,18.238858126744095,"[2.0, 3.0, 0.0]","[-0.09880960559126657, 0.11963591947864756, -5.508205259380911]",0.09127267288786131,1.0157426929489672,0.08638900372842316,0.058245828039608386,100
6,1,SIMPLE_LINEAR,NONE,10.877422329057836,1.4403226145167507,49.35935634327592,"[2.0, 3.0, 0.0]","[0.03187325857965817, -0.006477302610448987, -10.266736963771905]",0.18355586841671384,1.0041848158195612,0.058428929707043636,0.07327236865873835,100
6,1,SIMPLE_LINEAR,IMMEDIATE,5.730574093250302,0.18355586841671384,2.529672871532395,"[2.0, 3.0, 0.0]","[0.07249256274185348, 0.25362335169321104, -4.645601126138707]",0.18355586841671384,1.0041848158195612,0.058428929707043636,0.07327236865873835,100
6,1,LINEAR_REWEIGHTED,NONE,10.877422329057836,1.4403226145167507,49.35935634327592,"[2.0, 3.0, 0.0]","[0.03187325857965817, -0.006477302610448987, -10.266736963771905]",0.18355586841671384,1.0041848158195612,0.058428929707043636,0.07327236865873835,100
6,1,LINEAR_REWEIGHTED,IMMEDIATE,9.973896175224743,0.18355586841671384,0.004184815819561205,"[2.0, 3.0, 0.0]","[0.015783884887639484, 0.02370883033241115, -9.31038034647618]",0.18355586841671384,1.0041848158195612,0.058428929707043636,0.07327236865873835,100
7,1,SIMPLE_LINEAR,NONE,10.888364322581337,0.1372906032899764,0.02355527884179054,"[2.0, 3.0, 0.0]","[0.030291381737928447, -0.008623590891083666, -10.277398000892049]",0.13682099526511077,1.0235552788417905,0.03993475643167195,0.10284688768272232,100
7,1,SIMPLE_LINEAR,IMMEDIATE,5.608780822820464,0.13682099526511077,4.696300620203732,"[2.0, 3.0, 0.0]","[-0.16832026350629906, 0.08014520643795842, -4.269807669886236]",0.13682099526511077,1.0235552788417905,0.03993475643167195,0.10284688768272232,100
7,1,LINEAR_REWEIGHTED,NONE,10.888364322581337,0.1372906032899764,0.02355527884179054,"[2.0, 3.0, 0.0]","[0.030291381737928447, -0.008623590891083666, -10.277398000892049]",0.13682099526511077,1.0235552788417905,0.03993475643167195,0.10284688768272232,100
7,1,LINEAR_REWEIGHTED,IMMEDIATE,6.878319413233289,0.13682099526511077,17.302135163664115,"[2.0, 3.0, 0.0]","[-0.08106595644289763, 0.10271996101124445, -5.881004234913767]",0.13682099526511077,1.0235552788417905,0.03993475643167195,0.10284688768272232,100
8,1,SIMPLE_LINEAR,NONE,10.884426917774611,3.7243342358446623,86.76405478366671,"[2.0, 3.0, 0.0]","[0.031061751448110186, -0.007424213660215173, -10.273725278634629]",0.17772437065861274,1.0013935123816,0.12150897038028768,0.03410482473745831,100
8,1,SIMPLE_LINEAR,IMMEDIATE,5.572736272447343,0.17772437065861274,3.339538923662779,"[2.0, 3.0, 0.0]","[-0.062403546801001956, 0.16379622972682828, -4.331030979556854]",0.17772437065861274,1.0013935123816,0.12150897038028768,0.03410482473745831,100
8,1,LINEAR_REWEIGHTED,NONE,10.884426917774611,3.7243342358446623,86.76405478366671,"[2.0, 3.0, 0.0]","[0.031061751448110186, -0.007424213660215173, -10.273725278634629]",0.17772437065861274,1.0013935123816,0.12150897038028768,0.03410482473745831,100
8,1,LINEAR_REWEIGHTED,IMMEDIATE,8.756844413010667,0.17772437065861274,27.842923156166712,"[2.0, 3.0, 0.0]","[-0.03510870201539781, 0.049453452888482366, -7.989676571550667]",0.17772437065861274,1.0013935123816,0.12150897038028768,0.03410482473745831,100
9,1,SIMPLE_LINEAR,NONE,10.830179593718892,0.019901437970956913,0.028466566117600012,"[2.0, 3.0, 0.0]","[0.03090365207664192, -0.009651313334614997, -10.215549352675225]",0.019515477895583853,1.0284665661176,0.19312640661491187,0.16167946962329224,100
9,1,SIMPLE_LINEAR,IMMEDIATE,5.933894758639818,0.019515477895583853,14.751450828265465,"[2.0, 3.0, 0.0]","[-0.19758950337493894, -0.042089604227153965, -4.596454962372902]",0.019515477895583853,1.0284665661176,0.19312640661491187,0.16167946962329224,100
9,1,LINEAR_REWEIGHTED,NONE,10.830179593718892,0.019901437970956913,0.028466566117600012,"[2.0, 3.0, 0.0]","[0.03090365207664192, -0.009651313334614997, -10.215549352675225]",0.019515477895583853,1.0284665661176,0.19312640661491187,0.16167946962329224,100
